iter	RMSE
0	0.2884634671
1	0.2884431811
2	0.2884214987
3	0.2883981216
4	0.2883826126
5	0.2883677529
6	0.2883492755
7	0.2883356199
8	0.2883240771
9	0.2883068569
10	0.2882950691
11	0.2882792971
12	0.2882629686
13	0.2882501626
14	0.2882335072
15	0.2882205238
16	0.2882088002
17	0.2881898788
18	0.288177666
19	0.2881622942
20	0.288144373
21	0.2881303416
22	0.2881135437
23	0.2881013819
24	0.2880867518
25	0.2880701954
26	0.2880526211
27	0.2880341234
28	0.2880187304
29	0.2880064425
30	0.2879922688
31	0.2879801697
32	0.2879693994
33	0.2879522801
34	0.287939596
35	0.2879250798
36	0.2879091518
37	0.2878963844
38	0.2878857738
39	0.2878697351
40	0.2878532341
41	0.2878397042
42	0.2878259701
43	0.2878156827
44	0.2878009973
45	0.2877866506
46	0.2877727511
47	0.2877607785
48	0.2877476243
49	0.2877305054
50	0.2877129646
51	0.2876988307
52	0.2876843295
53	0.2876708324
54	0.2876521201
55	0.2876360819
56	0.287621401
57	0.2876051574
58	0.2875887227
59	0.2875752483
60	0.2875582957
61	0.2875462599
62	0.2875321042
63	0.2875180837
64	0.2875050543
65	0.2874879889
66	0.2874737488
67	0.2874584073
68	0.2874418284
69	0.2874297197
70	0.2874146477
71	0.2874010971
72	0.2873848547
73	0.287371928
74	0.2873566626
75	0.2873404041
76	0.2873278697
77	0.2873156202
78	0.287302133
79	0.2872893522
80	0.2872768835
81	0.2872627826
82	0.2872497416
83	0.2872372441
84	0.2872250452
85	0.2872079223
86	0.2871952189
87	0.2871821341
88	0.2871662057
89	0.2871513511
90	0.2871352986
91	0.2871215172
92	0.2871057895
93	0.2870905916
94	0.287073243
95	0.287057227
96	0.2870438909
97	0.2870282543
98	0.2870131476
99	0.2870026541
