iter	Passed	Remaining
0	4	439
1	7	378
2	11	372
3	14	349
4	18	351
5	21	339
6	25	339
7	28	328
8	32	327
9	35	321
10	39	319
11	42	311
12	46	311
13	49	304
14	53	302
15	56	296
16	60	293
17	63	287
18	66	285
19	70	280
20	74	278
21	77	273
22	81	271
23	84	266
24	88	264
25	91	259
26	95	256
27	98	252
28	102	249
29	105	245
30	108	242
31	112	238
32	116	235
33	119	232
34	122	228
35	127	225
36	130	221
37	134	220
38	138	217
39	143	214
40	146	210
41	149	206
42	152	202
43	156	199
44	159	195
45	163	191
46	166	188
47	170	184
48	174	181
49	178	178
50	182	175
51	185	171
52	189	167
53	192	163
54	196	160
55	200	157
56	204	154
57	207	150
58	211	147
59	215	143
60	218	139
61	222	136
62	225	132
63	228	128
64	232	124
65	235	121
66	240	118
67	245	115
68	250	112
69	254	108
70	258	105
71	261	101
72	265	98
73	268	94
74	272	90
75	275	87
76	280	83
77	283	79
78	287	76
79	291	72
80	295	69
81	299	65
82	302	61
83	305	58
84	308	54
85	313	51
86	318	47
87	321	43
88	325	40
89	328	36
90	332	32
91	335	29
92	339	25
93	342	21
94	346	18
95	349	14
96	353	10
97	356	7
98	360	3
99	363	0
