timestamp,bus_id,route_id,stop_sequence,current_stop_name,next_stop_name,day_of_week,is_holiday,is_peak_hour,weather_condition,passenger_count,current_speed,traffic_condition,distance_to_next_stop,current_lat,current_lon,eta_minutes
2024-01-01 06:00:00,BUS_001,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,sunny,22,18.07,jam,1.09,3.04125,101.79455,3
2024-01-01 06:05:00,BUS_001,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,rainy,15,17.49,heavy,0.42,3.04981,101.799431,1
2024-01-01 06:10:00,BUS_001,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,rainy,6,39.61,light,0.8,3.048151,101.804728,1
2024-01-01 06:17:00,BUS_001,R001,4,Green Acre Condo,SG Long Club House,0,False,False,windy,17,44.45,light,0.73,3.044084,101.804222,1
2024-01-01 06:23:00,BUS_001,R001,5,SG Long Club House,UTAR bus stop,0,False,False,windy,15,13.64,jam,0.81,3.041303,101.798319,3
2024-01-01 06:30:00,BUS_002,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,rainy,13,17.74,heavy,1.09,3.042325,101.79512,3
2024-01-01 06:36:00,BUS_002,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,18,45.2,normal,0.42,3.050283,101.800081,0
2024-01-01 06:42:00,BUS_002,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,storm,10,20.36,normal,0.8,3.046224,101.806283,2
2024-01-01 06:47:00,BUS_002,R001,4,Green Acre Condo,SG Long Club House,0,False,False,sunny,18,48.17,normal,0.73,3.045405,101.80576,0
2024-01-01 06:54:00,BUS_002,R001,5,SG Long Club House,UTAR bus stop,0,False,False,sunny,12,39.37,normal,0.81,3.041449,101.799376,1
2024-01-01 07:01:00,BUS_003,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,True,foggy,35,8.56,jam,1.09,3.04175,101.794815,8
2024-01-01 07:08:00,BUS_003,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,True,foggy,23,11.86,heavy,0.42,3.050891,101.800914,2
2024-01-01 07:13:00,BUS_003,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,True,storm,11,6.37,jam,0.8,3.04735,101.805374,12
2024-01-01 07:19:00,BUS_003,R001,4,Green Acre Condo,SG Long Club House,0,False,True,sunny,34,20.55,heavy,0.73,3.045146,101.805458,2
2024-01-01 07:26:00,BUS_003,R001,5,SG Long Club House,UTAR bus stop,0,False,True,sunny,33,22.27,heavy,0.81,3.041538,101.800028,2
2024-01-01 07:31:00,BUS_004,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,True,sunny,50,22.5,heavy,1.09,3.048293,101.798287,3
2024-01-01 07:37:00,BUS_004,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,True,foggy,25,10.02,heavy,0.42,3.050844,101.800849,2
2024-01-01 07:42:00,BUS_004,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,True,foggy,31,5.06,jam,0.8,3.04928,101.803816,14
2024-01-01 07:47:00,BUS_004,R001,4,Green Acre Condo,SG Long Club House,0,False,True,rainy,26,13.16,heavy,0.73,3.044283,101.804454,4
2024-01-01 07:53:00,BUS_004,R001,5,SG Long Club House,UTAR bus stop,0,False,True,windy,24,8.34,jam,0.81,3.041441,101.799323,5
2024-01-01 07:58:00,BUS_005,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,True,windy,35,17.83,heavy,1.09,3.04624,101.797198,4
2024-01-01 08:04:00,BUS_005,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,True,sunny,38,24.43,heavy,0.42,3.049934,101.799601,1
2024-01-01 08:11:00,BUS_005,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,True,foggy,27,10.73,heavy,0.8,3.050779,101.802606,7
2024-01-01 08:18:00,BUS_005,R001,4,Green Acre Condo,SG Long Club House,0,False,True,sunny,44,40.12,normal,0.73,3.045935,101.806377,1
2024-01-01 08:25:00,BUS_005,R001,5,SG Long Club House,UTAR bus stop,0,False,True,foggy,31,5.19,heavy,0.81,3.04101,101.796192,11
2024-01-01 08:31:00,BUS_001,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,True,windy,43,10.84,jam,1.09,3.047823,101.798038,6
2024-01-01 08:36:00,BUS_001,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,True,rainy,40,15.16,heavy,0.42,3.050961,101.80101,1
2024-01-01 08:43:00,BUS_001,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,True,foggy,21,12.64,heavy,0.8,3.049534,101.803611,6
2024-01-01 08:48:00,BUS_001,R001,4,Green Acre Condo,SG Long Club House,0,False,True,rainy,33,20.85,normal,0.73,3.045049,101.805346,2
2024-01-01 08:53:00,BUS_001,R001,5,SG Long Club House,UTAR bus stop,0,False,True,sunny,50,19.61,heavy,0.81,3.041001,101.796127,2
2024-01-01 09:00:00,BUS_002,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,True,rainy,30,12.44,heavy,1.09,3.049172,101.798754,5
2024-01-01 09:05:00,BUS_002,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,True,sunny,33,5.0,jam,0.42,3.050838,101.800841,5
2024-01-01 09:12:00,BUS_002,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,True,sunny,32,36.53,light,0.8,3.05063,101.802725,2
2024-01-01 09:18:00,BUS_002,R001,4,Green Acre Condo,SG Long Club House,0,False,True,windy,34,8.03,jam,0.73,3.041882,101.801658,7
2024-01-01 09:25:00,BUS_002,R001,5,SG Long Club House,UTAR bus stop,0,False,True,windy,28,26.21,normal,0.81,3.04137,101.798805,2
2024-01-01 09:31:00,BUS_003,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,True,windy,22,5.75,jam,1.09,3.046072,101.797109,13
2024-01-01 09:37:00,BUS_003,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,True,sunny,31,17.45,heavy,0.42,3.050064,101.79978,1
2024-01-01 09:43:00,BUS_003,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,True,foggy,42,5.11,jam,0.8,3.048807,101.804197,15
2024-01-01 09:48:00,BUS_003,R001,4,Green Acre Condo,SG Long Club House,0,False,True,sunny,35,34.62,normal,0.73,3.043139,101.803121,1
2024-01-01 09:55:00,BUS_003,R001,5,SG Long Club House,UTAR bus stop,0,False,True,sunny,50,23.06,heavy,0.81,3.04171,101.801272,2
2024-01-01 10:01:00,BUS_004,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,foggy,14,23.77,normal,1.09,3.046141,101.797145,2
2024-01-01 10:07:00,BUS_004,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,22,60.0,light,0.42,3.051018,101.801088,0
2024-01-01 10:12:00,BUS_004,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,windy,17,15.82,heavy,0.8,3.050216,101.80306,4
2024-01-01 10:18:00,BUS_004,R001,4,Green Acre Condo,SG Long Club House,0,False,False,windy,16,19.28,heavy,0.73,3.045267,101.805599,2
2024-01-01 10:23:00,BUS_004,R001,5,SG Long Club House,UTAR bus stop,0,False,False,sunny,20,46.73,normal,0.81,3.041307,101.798351,1
2024-01-01 10:28:00,BUS_005,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,sunny,20,48.8,normal,1.09,3.040872,101.794349,1
2024-01-01 10:34:00,BUS_005,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,22,46.8,normal,0.42,3.050848,101.800856,0
2024-01-01 10:40:00,BUS_005,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,rainy,7,29.85,light,0.8,3.048109,101.804762,1
2024-01-01 10:46:00,BUS_005,R001,4,Green Acre Condo,SG Long Club House,0,False,False,rainy,19,42.43,light,0.73,3.042589,101.802481,1
2024-01-01 10:52:00,BUS_005,R001,5,SG Long Club House,UTAR bus stop,0,False,False,rainy,19,32.94,normal,0.81,3.041119,101.79698,1
2024-01-01 10:57:00,BUS_001,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,windy,19,8.93,jam,1.09,3.048063,101.798165,7
2024-01-01 11:03:00,BUS_001,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,18,50.85,normal,0.42,3.050179,101.799938,0
2024-01-01 11:10:00,BUS_001,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,foggy,11,15.59,heavy,0.8,3.047092,101.805583,4
2024-01-01 11:15:00,BUS_001,R001,4,Green Acre Condo,SG Long Club House,0,False,False,rainy,13,32.98,normal,0.73,3.042307,101.802152,1
2024-01-01 11:20:00,BUS_001,R001,5,SG Long Club House,UTAR bus stop,0,False,False,sunny,16,56.37,light,0.81,3.041247,101.797912,0
2024-01-01 11:25:00,BUS_002,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,sunny,10,27.97,heavy,1.09,3.048978,101.798651,2
2024-01-01 11:32:00,BUS_002,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,20,42.59,normal,0.42,3.051506,101.801758,0
2024-01-01 11:37:00,BUS_002,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,sunny,21,16.24,jam,0.8,3.046182,101.806317,3
2024-01-01 11:42:00,BUS_002,R001,4,Green Acre Condo,SG Long Club House,0,False,False,rainy,14,38.41,light,0.73,3.045659,101.806056,1
2024-01-01 11:47:00,BUS_002,R001,5,SG Long Club House,UTAR bus stop,0,False,False,sunny,23,54.87,light,0.81,3.041152,101.797225,0
2024-01-01 11:53:00,BUS_003,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,rainy,21,35.16,light,1.09,3.044509,101.796279,1
2024-01-01 11:58:00,BUS_003,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,15,54.97,light,0.42,3.051062,101.801149,0
2024-01-01 12:03:00,BUS_003,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,sunny,16,43.06,light,0.8,3.047118,101.805562,1
2024-01-01 12:08:00,BUS_003,R001,4,Green Acre Condo,SG Long Club House,0,False,False,windy,22,36.21,normal,0.73,3.04177,101.801527,1
2024-01-01 12:13:00,BUS_003,R001,5,SG Long Club House,UTAR bus stop,0,False,False,sunny,17,51.1,light,0.81,3.040831,101.794894,1
2024-01-01 12:19:00,BUS_004,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,windy,15,28.17,heavy,1.09,3.043149,101.795557,2
2024-01-01 12:25:00,BUS_004,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,sunny,16,40.99,normal,0.42,3.049478,101.798976,0
2024-01-01 12:30:00,BUS_004,R001,3,KJ428 SMK SG Long,Green Acre Condo,0,False,False,sunny,13,18.9,heavy,0.8,3.046507,101.806055,3
2024-01-01 12:35:00,BUS_004,R001,4,Green Acre Condo,SG Long Club House,0,False,False,windy,21,43.65,light,0.73,3.044252,101.804417,0
2024-01-01 12:41:00,BUS_004,R001,5,SG Long Club House,UTAR bus stop,0,False,False,storm,6,6.29,jam,0.81,3.041362,101.798746,6
2024-01-01 12:47:00,BUS_005,R001,1,UTAR bus stop,KJ370 Perumahan SG Long Seksyen 7,0,False,False,storm,6,20.15,light,1.09,3.048654,101.798479,3
2024-01-01 12:54:00,BUS_005,R001,2,KJ370 Perumahan SG Long Seksyen 7,KJ428 SMK SG Long,0,False,False,rainy,16,8.1,jam,0.42,3.050406,101.800249,3
