,Baseline,Optimized,Improvement
MAE,0.33721214532852173,0.3510388135910034,-0.0138 (-4.10%)
MSE,0.29515010118484497,0.3012385666370392,-0.0061 (-2.06%)
RMSE,0.5432771863283465,0.5488520443954265,-0.0056 (-1.03%)
MAPE,33457813564.27894,36050403410.50651,-2592589846.2276 (-7.75%)
R2,0.9645344018936157,0.9638028144836426,-0.0007 (-0.08%)
Explained_Variance,0.9646053860277652,0.9639220986011503,-0.0007 (-0.07%)
Max_Error,9.459589004516602,8.685918807983398,0.7737 (8.18%)
Median_Absolute_Error,0.20698291063308716,0.22826802730560303,-0.0213 (-10.28%)
P90,0.7899489879608156,0.7885535001754763,0.0014 (0.18%)
P95,1.0437923908233642,1.0530361890792839,-0.0092 (-0.89%)
P99,2.0058883333206117,2.0349262571334763,-0.0290 (-1.45%)
Mean_Residuals,-0.024306513803452254,0.03150999451875686,-0.0072 (-29.64%)
Std_Residuals,0.5427467484743718,0.5479605260528342,-0.0052 (-0.96%)
