Metric,Baseline,Optimized,Absolute Difference,Percentage Change,Status
Test_MAE,0.3269688668048672,0.31582596340744284,0.011142903397424353,3.41%,↑ Better
Test_MSE,0.28570442469132573,0.28302924719332523,0.0026751774980005028,0.94%,↑ Better
Test_RMSE,0.534513259602908,0.5320049315498168,0.002508328053091202,0.47%,↑ Better
Test_MAPE,1.5191530000106468e+16,1.4932324710715654e+16,259205289390814.0,1.71%,↑ Better
Test_R2,0.9656693994206003,0.9659908520906527,-0.0003214526700524578,0.03%,↑ Better
Test_Explained_Variance,0.9656708098952405,0.965991109621958,-0.00032029972671754336,0.03%,↑ Better
Test_Max_Error,7.259128748103777,7.930530742706662,-0.6714019946028849,-9.25%,↓ Worse
Test_Median_AE,0.18031798090612988,0.15729122716671828,0.0230267537394116,12.77%,↑ Better
Train_MAE,0.3169439442035306,0.3035211040240968,0.013422840179433793,4.24%,↑ Better
Train_MSE,0.25305085955727674,0.25630291442066844,-0.0032520548633916957,-1.29%,↓ Worse
Train_RMSE,0.5030416081769745,0.5062636807244506,-0.0032220725474760847,-0.64%,↓ Worse
Train_R2,0.9697333268343028,0.9693443580639955,0.00038896877030725197,-0.04%,↓ Worse
Overfitting_Ratio,0.9411209154113148,0.9516146387019803,-0.010493723290665447,-1.12%,↓ Worse
Training_Time_Seconds,0.16801738739013672,1.569345474243164,-1.4013280868530273,-834.04%,↓ Worse
